drifter_id,crossing_time,year,month,decade,raw_trajectory_row,raw_start_offset,all_finite,all_drogued,exact_6_hour,season
8909322,1989-12-09T06:00:00,1989,12,1980,682,723714,True,True,True,DJF
8909323,1989-12-02T06:00:00,1989,12,1980,684,724946,True,True,True,DJF
8909325,1990-01-18T18:00:00,1990,1,1990,739,779192,True,True,True,DJF
9009326,1990-02-24T00:00:00,1990,2,1990,751,792132,True,True,True,DJF
9009327,1990-02-22T12:00:00,1990,2,1990,763,799101,True,True,True,DJF
9009329,1990-04-08T06:00:00,1990,4,1990,791,824708,True,True,True,MAM
9012731,1990-04-27T06:00:00,1990,4,1990,799,835390,True,True,True,MAM
9012734,1990-05-01T18:00:00,1990,5,1990,801,837199,True,True,True,MAM
9012732,1990-06-02T12:00:00,1990,6,1990,822,858969,True,True,True,JJA
9012733,1990-06-29T12:00:00,1990,6,1990,827,862043,True,True,True,JJA
9012738,1990-06-06T06:00:00,1990,6,1990,832,872218,True,True,True,JJA
9012735,1990-07-03T06:00:00,1990,7,1990,833,872798,True,True,True,JJA
9012737,1990-07-20T06:00:00,1990,7,1990,851,895791,True,True,True,JJA
9012740,1990-07-16T00:00:00,1990,7,1990,858,909470,True,True,True,JJA
9012741,1990-07-14T18:00:00,1990,7,1990,866,916112,True,True,True,JJA
9012749,1990-08-29T12:00:00,1990,8,1990,876,924721,True,True,True,JJA
9012748,1990-08-24T00:00:00,1990,8,1990,878,925494,True,True,True,JJA
9012751,1990-09-30T00:00:00,1990,9,1990,883,928640,True,True,True,SON
9012744,1990-10-11T12:00:00,1990,10,1990,884,929107,True,True,True,SON
9012746,1990-11-12T06:00:00,1990,11,1990,911,989882,True,True,True,SON
9012754,1990-11-16T12:00:00,1990,11,1990,920,1001775,True,True,True,SON
9012752,1990-11-16T12:00:00,1990,11,1990,923,1004625,True,True,True,SON
9012753,1990-11-11T00:00:00,1990,11,1990,926,1009215,True,True,True,SON
9012743,1990-12-04T06:00:00,1990,12,1990,931,1016826,True,True,True,DJF
9012763,1990-11-24T00:00:00,1990,11,1990,933,1017677,True,True,True,SON
9012758,1991-01-24T12:00:00,1991,1,1990,938,1021938,True,True,True,DJF
9012759,1991-01-25T00:00:00,1991,1,1990,957,1066373,True,True,True,DJF
9012761,1991-02-08T06:00:00,1991,2,1990,974,1103454,True,True,True,DJF
9012762,1991-01-30T18:00:00,1991,1,1990,977,1109739,True,True,True,DJF
9012760,1991-02-12T18:00:00,1991,2,1990,980,1118799,True,True,True,DJF
9012765,1991-02-13T06:00:00,1991,2,1990,981,1119269,True,True,True,DJF
9112764,1991-02-13T06:00:00,1991,2,1990,996,1159193,True,True,True,DJF
9112769,1991-01-29T18:00:00,1991,1,1990,999,1168278,True,True,True,DJF
9112776,1991-02-19T00:00:00,1991,2,1990,1004,1181199,True,True,True,DJF
9112771,1991-04-01T06:00:00,1991,4,1990,1008,1189416,True,True,True,MAM
9112773,1991-04-01T00:00:00,1991,4,1990,1042,1234793,True,True,True,MAM
9112772,1991-03-26T18:00:00,1991,3,1990,1044,1236056,True,True,True,MAM
9112767,1991-04-03T00:00:00,1991,4,1990,1047,1238309,True,True,True,MAM
9122730,1991-05-05T00:00:00,1991,5,1990,1057,1247270,True,True,True,MAM
9122732,1991-06-19T12:00:00,1991,6,1990,1064,1257808,True,True,True,JJA
9122734,1991-06-06T18:00:00,1991,6,1990,1066,1258701,True,True,True,JJA
9122735,1991-07-09T06:00:00,1991,7,1990,1068,1265168,True,True,True,JJA
9122736,1991-06-19T12:00:00,1991,6,1990,1071,1270061,True,True,True,JJA
9122731,1991-06-08T12:00:00,1991,6,1990,1072,1270514,True,True,True,JJA
9122737,1991-06-02T18:00:00,1991,6,1990,1081,1277478,True,True,True,JJA
7708593,1992-07-03T00:00:00,1992,7,1990,1444,1993680,True,True,True,JJA
9423704,1995-03-01T12:00:00,1995,3,1990,2555,4230166,True,True,True,MAM
9423709,1995-08-01T06:00:00,1995,8,1990,2584,4279662,True,True,True,JJA
9423714,1995-07-17T18:00:00,1995,7,1990,2624,4346151,True,True,True,JJA
9423756,1995-07-20T12:00:00,1995,7,1990,2630,4361099,True,True,True,JJA
9423754,1996-03-17T18:00:00,1996,3,1990,2684,4482159,True,True,True,MAM
9423720,1995-12-30T00:00:00,1995,12,1990,2686,4490450,True,True,True,DJF
9423487,1995-07-02T00:00:00,1995,7,1990,2710,4537474,True,True,True,JJA
9423750,1996-02-24T06:00:00,1996,2,1990,2743,4623094,True,True,True,DJF
9423719,1995-11-22T00:00:00,1995,11,1990,2750,4633971,True,True,True,SON
9423721,1995-09-11T00:00:00,1995,9,1990,2751,4634945,True,True,True,SON
9423766,1996-01-13T06:00:00,1996,1,1990,2792,4714009,True,True,True,DJF
9423767,1996-01-03T12:00:00,1996,1,1990,2793,4714874,True,True,True,DJF
9423758,1995-12-30T18:00:00,1995,12,1990,2799,4722735,True,True,True,DJF
9423579,1996-03-30T18:00:00,1996,3,1990,2887,4904020,True,True,True,MAM
9423772,1996-03-29T06:00:00,1996,3,1990,2934,5020734,True,True,True,MAM
9423771,1996-02-27T18:00:00,1996,2,1990,2970,5104648,True,True,True,DJF
9423769,1996-03-01T12:00:00,1996,3,1990,2975,5111680,True,True,True,MAM
9423759,1996-02-19T12:00:00,1996,2,1990,2976,5112892,True,True,True,DJF
9423763,1996-01-27T12:00:00,1996,1,1990,2980,5121523,True,True,True,DJF
9423764,1996-04-02T12:00:00,1996,4,1990,3136,5449320,True,True,True,MAM
9423718,1996-03-14T18:00:00,1996,3,1990,3146,5481033,True,True,True,MAM
9423723,1996-08-04T18:00:00,1996,8,1990,3147,5482324,True,True,True,JJA
