design_id,style,sigma_km,min_pairwise_separation_km,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
design_000000,manual,200.0,502.4937810560445,-150.0,-150.0,350.0,-100.0,850.0,-50.0,1450.0,50.0
design_000001,manual,200.0,350.0,250.0,-500.0,250.0,-150.0,250.0,200.0,250.0,550.0
design_000002,manual,200.0,350.0,850.0,-550.0,850.0,-200.0,850.0,150.0,850.0,500.0
design_000003,manual,200.0,848.5281374238571,-100.0,-350.0,450.0,300.0,1050.0,-300.0,1650.0,300.0
design_000004,manual,200.0,600.0,-100.0,250.0,500.0,250.0,1100.0,250.0,1700.0,250.0
design_000005,manual,200.0,600.0,-100.0,-300.0,500.0,-300.0,1100.0,-300.0,1700.0,-300.0
design_000006,manual,200.0,1029.5630140987,0.0,-500.0,500.0,400.0,1200.0,-450.0,1900.0,350.0
design_000007,manual,200.0,672.6812023536855,-200.0,0.0,300.0,450.0,800.0,0.0,1300.0,-450.0
design_000008,manual,200.0,565.685424949238,500.0,-550.0,900.0,-150.0,1300.0,250.0,1750.0,600.0
design_000009,manual,200.0,921.9544457292888,-300.0,-450.0,300.0,350.0,900.0,-350.0,1500.0,450.0
design_000010,manual,200.0,600.0,100.0,-250.0,700.0,-250.0,1300.0,-250.0,1900.0,-250.0
design_000011,manual,200.0,600.0,100.0,350.0,700.0,350.0,1300.0,350.0,1900.0,350.0
design_000012,support_random,200.0,295.2503602303451,605.7423186777089,210.11240998728468,1071.9819404305492,118.93213155427242,192.32889854616656,-235.9268352655097,297.77869244629335,39.85045927225555
design_000013,support_random,200.0,397.93039202507725,550.2033910443116,224.09279482963632,1244.1747624663246,150.42713006853793,1544.2431273921711,-110.93004558952718,-470.7912472971211,-551.4826141964402
design_000014,support_random,200.0,537.0297806947623,644.263836956921,361.3499911641745,1161.7222778423975,49.865369125579974,293.99691684209057,-64.20897225389822,-241.10481350036173,-109.67460254291822
design_000015,support_random,200.0,260.04088572949877,-19.566400178328166,51.31855703150478,733.8283032299984,318.65017643170347,405.61454719219194,-391.303950852987,-279.27014995915926,64.55579997547501
design_000016,support_random,200.0,299.4799142926616,-75.68066917090515,154.43560322382152,1078.909021161489,-207.12831140927096,431.81133561245207,-705.2086917550665,183.81431092785988,303.9366880636362
design_000017,support_random,200.0,309.32941661973587,183.8552691569037,-46.20808190012461,1270.251410054752,240.79053477895505,324.69799055417207,229.1971029016826,-208.8118589287703,-221.77791781017294
design_000018,support_random,200.0,258.141440123293,-90.97647794406971,368.9042638788177,-29.646403539641184,16.96576204392572,148.5928994335805,203.69485454037567,1288.2958704631728,261.47068016355473
design_000019,support_random,200.0,297.15260577350375,-188.21385784601227,139.02263276526662,734.8707195946488,500.25656880907974,450.57975390671095,321.3636949139103,1030.1921578940926,533.1946804539684
design_000020,support_random,200.0,262.39001026968714,250.98245311369914,39.929821441187926,1445.1212666499073,400.66952866600843,434.9118294214649,227.06213297600232,1005.4623314024085,378.7053912943853
design_000021,support_random,200.0,319.22179091538106,-67.15531089150022,99.68734148064632,534.2266435457154,-0.387930798845435,333.14866678240134,-441.7824745037475,322.81118541481453,238.78994413636786
design_000022,support_random,200.0,300.9544503813728,784.8126427557736,126.79706106873621,-65.36443414047895,-601.8732709811113,-110.17729362375351,-304.27389458847426,-283.2073038640264,76.53900465843702
design_000023,support_random,200.0,257.2088427498546,53.50298039503217,135.78938846991844,271.74353035940015,384.4563717881964,525.3705214323088,341.6809327136274,13.717373605350012,-250.38185502111025
design_000024,support_random,200.0,303.45880033219174,-258.11972822138506,91.62502827987011,590.111246055697,-251.91555578213104,-79.5955944611205,-282.6347876451688,42.823368268840056,52.631488123479045
design_000025,support_random,200.0,280.0211188338139,629.2577132783737,285.62333231936316,23.944361449357466,-214.19281781938454,1852.7617392747625,-301.2422649777002,231.42167572550855,-26.136998835508997
design_000026,support_random,200.0,430.61045093937867,449.8414478019695,175.32105367104018,869.8022086217841,80.14584770931121,-36.4099261841495,-391.2406677630899,1985.6956569549766,396.1431354328321
