step,loss,gradient_norm,update_norm,observed_loss,preprojection_loss,physical_loss,correction_loss,moment_error_initial,moment_error_relaxed,moment_error_projected,physical_energy,total_correction_rms,relaxation_displacement,projection_correction,relaxation_converged,projection_converged,projection_rank_deficient,loss_std
0,4.084057551256379,3.422358426095024,0.0901016693941915,2.2535993941024405e-05,0.0,0.0003940023563113368,4.083641012906126,0.10074115369939336,0.10075478267646841,0.00011480844956677166,0.0039400235631133675,0.06359920131448288,3.1509500774401004e-05,0.0641602534372908,1.0,0.5,0.0,0.7923084122026653
1,4.032312732167249,3.112238319331064,0.08245987795913569,1.652255521119359e-05,0.0,0.00039084627755865144,4.031905363334479,0.1004448149641979,0.10045891553486769,9.858701418213189e-05,0.003908462775586515,0.06319692284737069,3.216070830111397e-05,0.06374357876434222,1.0,0.5,0.0,0.7798629851139507
2,3.9833546259855344,3.0554601609068373,0.08068096873203902,2.4553557919492893e-07,0.0,0.00038583047567817717,3.9829685499742773,0.10014698796138796,0.10016835430703439,1.5654283261624165e-05,0.0038583047567817713,0.06281566250215284,4.8022785260998074e-05,0.0633495509986499,1.0,1.0,0.0,0.7659882672590679
3,3.9468490841488775,3.034644516502393,0.08028642044230155,9.914368011389197e-08,0.0,0.00038601868801900723,3.9464629663171777,0.09984676726932211,0.09986887906259742,9.498629069135312e-06,0.0038601868801900717,0.06252000788887185,4.906937362135267e-05,0.0630445873366274,1.0,1.0,0.0,0.7680086647591271
4,3.9722320957156363,3.9953662502897345,0.07412305673973883,2.1211642248891826e-05,0.0,0.0003913341231982911,3.9718195499501894,0.09954104412618037,0.09956392666751056,0.00011186673195246186,0.003913341231982911,0.06267333358512674,5.015002313010986e-05,0.063224926459906,1.0,0.5,0.0,0.8304195751111925
5,3.9024676905190168,3.2018938521632867,0.07495974299817826,1.5689238348877404e-05,0.0,0.0003918175318553334,3.9020601837488122,0.09922990684787947,0.09926070909914356,9.696433815031878e-05,0.003918175318553334,0.062139918790675625,6.659198108599776e-05,0.06267759605800766,1.0,0.5,0.0,0.792933740249641
6,3.8600327367077147,3.2301761155304516,0.07551556564272235,1.4368982701686073e-05,0.0,0.0003903101800408933,3.859628057544972,0.09890022627904317,0.09893211066223093,9.103937677826437e-05,0.003903101800408933,0.06180321765105583,6.807240065777667e-05,0.06233049948671189,1.0,0.5,0.0,0.7818184772321439
7,3.8067376245620475,3.202756548643667,0.07585369170492103,7.56011206001288e-08,0.0,0.00038613288254539123,3.806351416078382,0.09854726221936341,0.09858032125052266,7.028756070227888e-06,0.0038613288254539125,0.06137967733015853,6.965799710082155e-05,0.061890819120383425,1.0,1.0,0.0,0.7656568663548498
8,3.774288995938395,3.356985992288258,0.07659524576567073,9.178655941381405e-06,0.0,0.0003853420195766579,3.7738944752628774,0.09816603913948105,0.09820796191945214,7.218745528630785e-05,0.003853420195766578,0.06110779099081279,8.696472379058987e-05,0.06162342542872773,1.0,0.5,0.0,0.7705163482883444
9,3.726227189884919,3.37517771304841,0.07730124133560445,2.4916036305759367e-07,0.0,0.0003855861400926363,3.725841354584463,0.09774990879830671,0.09779359174759936,1.367956740061298e-05,0.003855861400926363,0.06071466943932605,8.926239316561735e-05,0.06122111641719567,1.0,0.5,0.0,0.763988909056524
10,3.6805883709291773,3.4786602646323552,0.0781011248929723,1.7217470695803483e-07,0.0,0.0003860604836715955,3.680202138270799,0.0972930768815978,0.0973465579775182,1.2940352562309813e-05,0.0038606048367159545,0.060334913626031966,0.00010733443535004135,0.06083912034754241,1.0,1.0,0.0,0.7623704574999559
11,3.631421580380878,3.674903672224864,0.07899388000759891,1.6780239596267035e-07,0.0,0.0003869265193176644,3.6310344860591646,0.09678642640783638,0.09684252342358199,1.2939096882447288e-05,0.003869265193176644,0.05992266729717146,0.00011058168405620822,0.06042067755135127,1.0,1.0,0.0,0.7610234106545943
12,3.5773922436376346,3.7213049967401135,0.0799805322556123,3.5530377173334835e-07,0.0,0.0003868673135359477,3.577005021020327,0.09621928402521987,0.09628664281597121,1.884014895151062e-05,0.0038686731353594762,0.059464665573036035,0.0001299749415547762,0.059961934756797106,1.0,1.0,0.0,0.7612723647024633
13,3.5199145591812413,3.753686395542638,0.08087965200929745,3.3661104723189976e-07,0.0,0.0003853590208754915,3.5195288635493185,0.09558347766557991,0.09565485439790203,1.8340344600661954e-05,0.003853590208754915,0.058974273774654265,0.00013474540923174224,0.059464077687486884,1.0,1.0,0.0,0.7605537300775933
14,3.4583853834627547,4.05158982827887,0.08189240456686132,3.6596072534359554e-07,0.0,0.00038401733670914977,3.4580010001653196,0.09486886102988668,0.0949537458096569,1.9122295237492942e-05,0.003840173367091498,0.05844409328236824,0.00015612391944765553,0.05893160890547226,1.0,1.0,0.0,0.760260517111248
15,3.3896630912350982,4.1663149510349005,0.08296290120417199,3.0195562482120394e-07,0.0,0.0003874789862877907,3.389275310293186,0.09405973461305134,0.09415922833119694,1.7335539993995715e-05,0.0038747898628779063,0.0578474752209748,0.00017826633086283271,0.05833241014335418,1.0,1.0,0.0,0.7583158056106674
16,3.3227297443718395,3.616136463540264,0.08109842404890172,3.9309622430875596e-07,0.0,0.00038459112320107547,3.3223447601524145,0.09314183429004666,0.09326725489179488,1.9826257814021057e-05,0.003845911232010755,0.05726635029956004,0.00021851014655962912,0.0577554287199131,1.0,1.0,0.0,0.7503948177032578
17,3.2425893849754646,5.351723743090142,0.0821762423442114,3.4502149500351225e-07,0.0,0.0003869331143589032,3.2422021068396107,0.09213979843837757,0.09228573969767775,1.8563300446177674e-05,0.0038693311435890323,0.05655180306285579,0.0002466454798994749,0.05703476879037541,1.0,1.0,0.0,0.7512000964501955
18,3.1713631635559745,6.885795102371653,0.08120297513031818,3.383346143652263e-07,0.0,0.0003908390246386503,3.1709719861967214,0.0910000800508701,0.09117905630876126,1.8390909638838596e-05,0.003908390246386503,0.055915900936229335,0.0002934538125188412,0.056412764060458115,1.0,1.0,0.0,0.745189777660624
19,3.064440314993602,5.8520076915778425,0.08236769802007576,1.9618612720117969e-07,0.0,0.00039528383254745097,3.0640448349749274,0.08970034165420496,0.08990669094289726,1.392186307195155e-05,0.0039528383254745095,0.05494582744104689,0.00032802321513182087,0.05542828095026018,1.0,1.0,0.0,0.7373300553678956
20,2.968687178906002,5.099176926271239,0.0,4.4565453188067014e-08,0.0,0.0003948640671857782,2.9682922702733636,0.0882205005907995,0.08847126679036868,5.200165741205488e-06,0.003948640671857782,0.054061064601777585,0.0003842834790279832,0.054545376862818885,1.0,1.0,0.0,0.7310195015712948
