candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,mean_squared_endpoint_displacement,endpoint_displacement_rms,maximum_coupling_marginal_residual,all_time_target_hull_feasible,feasible_time_count,all_time_calibrations_converged,minimum_interior_ess_fraction,maximum_interior_standardized_residual,mean_projection_kl_distortion,maximum_lambda_norm,nontrivial_hidden_shift_time_count,all_time_physical_range_gate_pass,phase3a_gate_pass,rejection_reasons,calibration_solver_warning_time_count,all_time_calibration_residual_gate_pass
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.02,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,False,4,False,0.007092949320360738,8.73707772797161e-11,2.701317227273945,40.28578865381403,4,True,False,target_not_in_empirical_hull_at_all_times;minimum_interior_ess;calibration_residual_gate,5,False
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.03,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,False,6,False,0.0003854573859148293,1.6444623440747819e-12,3.600611585644518,32.38493552389195,6,True,False,target_not_in_empirical_hull_at_all_times;minimum_interior_ess;calibration_residual_gate,3,False
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,False,0.0007210834830069105,6.880342962034547e-10,3.521940002925893,37.51708033272169,9,True,False,minimum_interior_ess,1,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,True,0.00442852205097956,6.250377992955691e-11,2.084561062407751,23.493244912547453,9,True,False,minimum_interior_ess,0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,True,0.0273021517582872,1.865174681370263e-14,0.9924277262134884,18.4272680391051,9,True,False,minimum_interior_ess,0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.07,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,True,0.0658768909328422,3.3573588353874584e-11,0.43981776626301666,15.029928878372681,7,True,False,minimum_interior_ess,0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.08,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,True,0.1206647355809089,9.306333481617912e-12,0.48316300657410455,12.00425784447407,9,True,False,minimum_interior_ess,0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.09,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,True,9,True,0.006938153621540915,2.4386048735891563e-11,1.2284572965881102,9.352168094411462,7,True,False,minimum_interior_ess,0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.1,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,False,7,False,0.001195566814846773,5.735967256725871e-11,1.6506178921468455,15.17511906604515,7,False,False,target_not_in_empirical_hull_at_all_times;minimum_interior_ess;calibration_residual_gate;hard_field_range_pathology,2,False
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.12,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,False,4,False,0.04227145312048786,2.6645352591003757e-15,0.8702819905216708,9.165016298640465,3,False,False,target_not_in_empirical_hull_at_all_times;minimum_interior_ess;calibration_residual_gate;hard_field_range_pathology,5,False
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.14,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,False,3,False,0.0064302888879683795,5.413025583322906e-11,1.2616773876260636,7.094495181930233,3,False,False,target_not_in_empirical_hull_at_all_times;minimum_interior_ess;calibration_residual_gate;hard_field_range_pathology,6,False
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.02,0.012922909272873415,0.11367897462975911,2.8189256484623115e-17,True,9,False,0.00098965405769128,3.772271384150372e-10,2.710494240305117,50.149186595980886,9,True,False,minimum_interior_ess,1,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.03,0.012922909272873415,0.11367897462975911,2.8189256484623115e-17,True,9,False,0.00960173516110752,4.206226478231656e-09,1.9632392657849627,15.577077787831078,9,True,False,minimum_interior_ess,1,True
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,0.04,0.012922909272873415,0.11367897462975911,2.8189256484623115e-17,True,9,True,0.0259297921397258,4.78546091642329e-11,1.2672353420120372,11.503892632731755,9,True,False,minimum_interior_ess,0,True
