replicate,spearman_rank_correlation,top20_overlap
0,0.9999999999999999,2
1,0.9999999999999999,2
2,0.9999999999999999,2
3,0.9999999999999999,2
4,0.9999999999999999,2
5,0.9999999999999999,2
6,0.9999999999999999,2
7,0.9999999999999999,2
8,0.9999999999999999,2
9,0.9999999999999999,2
10,0.9999999999999999,2
11,0.9999999999999999,2
12,0.9999999999999999,2
13,0.9999999999999999,2
14,0.9999999999999999,2
15,0.9999999999999999,2
16,0.9999999999999999,2
17,0.9999999999999999,2
18,0.9999999999999999,2
19,0.9999999999999999,2
20,0.9999999999999999,2
21,0.9999999999999999,2
22,0.9999999999999999,2
23,0.9999999999999999,2
24,0.9999999999999999,2
25,0.9999999999999999,2
26,0.9999999999999999,2
27,0.9999999999999999,2
28,0.9999999999999999,2
29,0.9999999999999999,2
30,0.9999999999999999,2
31,0.9999999999999999,2
32,0.9999999999999999,2
33,0.9999999999999999,2
34,0.9999999999999999,2
35,0.9999999999999999,2
36,0.9999999999999999,2
37,0.9999999999999999,2
38,0.9999999999999999,2
39,0.9999999999999999,2
40,0.9999999999999999,2
41,0.9999999999999999,2
42,0.9999999999999999,2
43,0.9999999999999999,2
44,0.9999999999999999,2
45,0.9999999999999999,2
46,0.9999999999999999,2
47,0.9999999999999999,2
48,0.9999999999999999,2
49,0.9999999999999999,2
50,0.9999999999999999,2
51,0.9999999999999999,2
52,0.9999999999999999,2
53,0.9999999999999999,2
54,0.9999999999999999,2
55,0.9999999999999999,2
56,0.9999999999999999,2
57,0.9999999999999999,2
58,0.9999999999999999,2
59,0.9999999999999999,2
60,0.9999999999999999,2
61,0.9999999999999999,2
62,0.9999999999999999,2
63,0.9999999999999999,2
